Node Name,Node Type,Location X,Location Y,Color,Dimensions
群組輸出,GROUP_OUTPUT,1164.1859130859375,0.0
Extrude Mesh,EXTRUDE_MESH,-309.8031921386719,56.63470458984375
向量.001,INPUT_VECTOR,-535.9400024414062,-164.67434692382812
Extrude Mesh.001,EXTRUDE_MESH,974.1859130859375,118.30438232421875
法線.001,INPUT_NORMAL,304.54168701171875,-95.24771118164062
合成 XYZ,COMBXYZ,726.1439208984375,-21.569732666015625
分離 XYZ.002,SEPXYZ,534.8746337890625,-22.221038818359375
Curve to Mesh.001,CURVE_TO_MESH,273.5439453125,164.67431640625
Mesh to Curve.001,MESH_TO_CURVE,107.43768310546875,139.22283935546875
分成三角形,TRIANGULATE,-128.70388793945312,112.255615234375
Subdivide Curve,SUBDIVIDE_CURVE,-928.64306640625,62.908935546875
群組輸入,GROUP_INPUT,-1214.523681640625,26.04075813293457
Curve to Mesh,CURVE_TO_MESH,-668.8201904296875,-2.860931396484375
Node Name,Node Type,Location X,Location Y,Color,Dimensions
群組輸出,GROUP_OUTPUT,1164.1859130859375,0.0
Extrude Mesh,EXTRUDE_MESH,-309.8031921386719,56.63470458984375
向量.001,INPUT_VECTOR,-535.9400024414062,-164.67434692382812
Extrude Mesh.001,EXTRUDE_MESH,974.1859130859375,118.30438232421875
法線.001,INPUT_NORMAL,304.54168701171875,-95.24771118164062
合成 XYZ,COMBXYZ,726.1439208984375,-21.569732666015625
分離 XYZ.002,SEPXYZ,534.8746337890625,-22.221038818359375
Curve to Mesh.001,CURVE_TO_MESH,273.5439453125,164.67431640625
Mesh to Curve.001,MESH_TO_CURVE,107.43768310546875,139.22283935546875
分成三角形,TRIANGULATE,-128.70388793945312,112.255615234375
Subdivide Curve,SUBDIVIDE_CURVE,-928.64306640625,62.908935546875
群組輸入,GROUP_INPUT,-1214.523681640625,26.04075813293457
Curve to Mesh,CURVE_TO_MESH,-668.8201904296875,-2.860931396484375
Node Name,Node Type,Location X,Location Y,Color,Dimensions
群組輸出,GROUP_OUTPUT,1164.1859130859375,0.0
Extrude Mesh,EXTRUDE_MESH,-309.8031921386719,56.63470458984375
向量.001,INPUT_VECTOR,-535.9400024414062,-164.67434692382812
Extrude Mesh.001,EXTRUDE_MESH,974.1859130859375,118.30438232421875
法線.001,INPUT_NORMAL,304.54168701171875,-95.24771118164062
合成 XYZ,COMBXYZ,726.1439208984375,-21.569732666015625
分離 XYZ.002,SEPXYZ,534.8746337890625,-22.221038818359375
Curve to Mesh.001,CURVE_TO_MESH,273.5439453125,164.67431640625
Mesh to Curve.001,MESH_TO_CURVE,107.43768310546875,139.22283935546875
分成三角形,TRIANGULATE,-128.70388793945312,112.255615234375
Subdivide Curve,SUBDIVIDE_CURVE,-928.64306640625,62.908935546875
群組輸入,GROUP_INPUT,-1214.523681640625,26.04075813293457
Curve to Mesh,CURVE_TO_MESH,-668.8201904296875,-2.860931396484375
